x,y,z,line
-16735,56,-5840,ENjoy my pond MIke_embed 3-29-2017 i hate the void !!
10000,62,-9998,Crockco was here 5/3/2017  
17097,58,13568,BobRock was here 9 Dec 2016
20000,66,-10,Congrats on 20k X+ End ~Leolightbringer 5 sep 2017
1108,77,-5002,Relidom was here 3/9/19 Just got to the end today lol
20000,65,-20000,THE END 20k -20k  nebulae was here
1245,57,-11855,that was an uncomfortable bridge 
1362,92,-12935,Taprman/Xopra Was here Elytra taken 10/16/2016
1074,57,-13468,Cobblemonster by  fmode
19999,76,2, tipls was here 15/03/2018 
20000,75,0," 20,000 blocks "
17645,55,6998,Did I scare the crap out of you? Good haha. Watch you step!
17645,54,6998,Yours Truely Prosetos  11/20/17
1048,255,47,your boii Crystalinqq was 'ere 
1052,255,47, joe joe joe boi Demonqqq 5 mar 2017
1055,255,47,Comerade crameras was  here HEIL STALIN
1209,255,47,"Ya boy, TobSick, was here.  "
1277,76,1,fck tou   
1039,76,752,Fuck this.   
1423,59,886,SHHHHH   
1057,65,8746,Raided by Miguelo4001 26 JAN 2017 
20000,62,20000,oof   
1174,59,1641,   
2320,62,-7983,If not ill be witing a little you nigger niggerniggernigge
2323,62,-7983,nigger nigger nigger nigger nigger nigger nigger nigger
2322,62,-7983,I HOPE YOU SUFFOCATE IN HERE YOU NIGGER P529 14/10/16
2321,62,-7983,Watched your ep  and came here i hope you logged out at this point
2542,63,-890,cool beans nephilimd34d sept 19 2019 
2541,63,-890, Evanry was here 09-25-2019 
2544,63,-892,Endzone Respite est. 1 May 2018 by DecadentDeity
2239,115,-9844,6/5/16  Finally fucking found one
18167,58,-6985,not a single fucking island  
10390,59,-5458,Done Going home now 8 May 2017 Haddock
10393,59,-5458,   
17983,65,-9490,"Nov. 19, 2016 I arrived at this location... "
17984,65,-9490,http_logan got his first shulker shells from the 2b2t 1.11 update
17985,65,-9490,To whom ever may find this... This place is yours truely;
2358,122,-19771,   
2363,121,-19746,Scribblefoxx's end of the world ark 12.7.18
10439,63,-14119,Spicah was here 19/08/2019 
10439,64,-14119,ViciousSlasher was here 28/12/2016 
10446,69,-14122,HOME Just an EnderPearl Away
2191,61,-4008,~*~*~*~*~*~*~ Built by: Phoenix19 ~*~*~*~*~*~*~
2182,63,-4010,~*~*~*~*~*~*~ Storage Room ~*~*~*~*~*~*~
2185,63,-4010,If you take something dupe it so thers a copy
2190,62,-4013,scribblefoxx's ark if this is needed shit went down
2182,63,-4011,~*~*~*~*~*~*~ Please keep this place neat. ~*~*~*~*~*~*~
2191,61,-3984,Peasant Hovel  Biggus's
2196,58,-4054, In case of lag do not cross           -Scribble
2196,60,-4048,2b2t PETA Kill Shelter est 1669 ===============
2200,64,-4008, This is 
2199,65,-4009, Hi!  
2199,66,-4009, who would put this like that?
2200,64,-4009, a sign 
2199,67,-4009,This sign is not for  everyone 
2197,55,-3993,   
2198,55,-3994,   
2198,62,-3986,Best Home 2015 Award Winner 3 Bed 4 Bath
2198,55,-3993,   
2198,62,-3989,Worst Home 2016 Least Inspired 42 Bed 69 Bath
2193,62,-3990, Villagers r       gross...
2201,63,-3996,join oldfag.org  OG_Triple_OG 
2202,58,-3991,w   
2202,62,-3987,This Is A SIGN
2192,57,-3965,biggus' personal chest taking anything = lobotomy
2223,62,-4011,Biggus Dickus' Certified  Consensual  Cum Cabin
2223,62,-4009,Enter for free sexy times ;) 
2232,61,-4027,OG_Tree   OG_Tree
2234,70,-4026,OG_Triple_OG's  stuff  
2226,61,-4010,lmao u gay   
10693,56,-18825,Nice Stash -SoulElite  
10691,56,-18826,Took a pick and an elytra cyentist 11/2017
10671,76,1,Ice Road Repair Ice  
2289,64,11902,"Miguelo4001 was here 27 JAN 2017 Now, Its time to /kill"
17980,60,1634,magelord was here. 2016/11/29 
2063,87,2426,yeehaaaww was here 15 Aug 2019 Elytras are epic!
2078,87,2426,Insanity was here 03/07/2019 
2079,88,2426,Presant from Insanity :)  
2064,87,2426,nikag12 saw  
2068,87,2426,"MasterRevillo was here 1/28/17 Fantastic build,  even post-grief"
2067,87,2426,Lol Space  Valkyria  
2066,87,2426,BarrenDome visited 22Jan19 
2072,87,2426,BNKirby was here 04/05/19 
2071,87,2426,CrazyMetroid was here 3/10/19 
2070,87,2426,_Courier6_ was here 2/2/19 
2069,87,2426,Still impressive even in death. Flux01 9-17-18
2076,87,2426,"Jayfeather was here. Gorgeous Build. June 9th, 2019"
2075,87,2426,Jman2 was here 2019-06-03 
2074,87,2426,Have a gift BNKirby 04/05/19 
2092,92,2596,Insanity was also here lel 03/07/2019 
10250,84,17627,Victory   
10254,84,17621,How many is enaugh? When do I stop? 
10252,84,17621,BobRock 21 Jul 2016 Elite woop woop 
10378,62,4215,12300 5300   
10563,60,4909,kxvm found elytra and left June 2 2016 
20954,137,-2480,Haha! KingDoddy was  here first! 27.12.2016
18682,111,5735,"I don't need this. Congrats on it. -GoldBagel August 24, 2019"
10973,59,42,fucking   
11041,75,1,Fixed mostly Mike_embed  2-3-2019
11066,110,17374,Stardust ended her Shulker hunt here. And had already
11066,109,17374,"found an Elytra, and also they're disabled anyway, so w/e. 2/1/17"
11066,109,17372,BobRock was here 2016 Jul
10964,60,17537," Why so far out, you ask? "
10963,60,17537,It took a while to fill up on Shulker shells. 
10965,60,17537,The pearl harvesting fields.  Stardust 2/4/17
2567,122,-1491,Breathfire left this 4 u. I wasn't the first  :( Feb 3 2017
2575,140,-1492,"Breathfire was here Feb 3, 2017 Arr m8y"
2585,124,-1491,   
14108,137,4502,I don't give a fuck. Take it. 12/3/16 -Auion
11340,63,-5983,First and second elytras StneCldKilla 9/30/16
11561,62,-5984,There is no spoon 
2820,213,-20837,d720439f881078d 1b335c33360bcf2 e7dc017df56acfb 7a5e3c3086a62d8
2821,213,-20837,41da   
-18409,65,-8967, totems for all 
-18413,64,-8967, kits  
-18412,64,-8967, items  
-18411,64,-8967, blocks  
-18410,64,-8967, colors  
-18415,64,-8968,> loose items < one year off your life each time you add
-18414,64,-8968,sort stuff or i will kill you 
-18413,64,-8968, Central storage 
-18389,65,-9009,Please hoard  all endstone much love dielo
